Column1,Will (bigger net)
0,0.5559
1,0.6602
2,0.7037
3,0.7317
4,0.7434
5,0.7546
6,0.7628
7,0.7578
8,0.763
9,0.763
10,0.7633
11,0.7569
12,0.7637
13,0.77
14,0.7733
15,0.772
16,0.7673
17,0.779
18,0.766
19,0.7753
20,0.7705
21,0.7723
22,0.7814
23,0.7703
24,0.777
25,0.7747
26,0.7824
27,0.7815
28,0.7801
29,0.7851
30,0.7742
31,0.7883
32,0.7852
33,0.7776
34,0.7815
35,0.7883
36,0.7818
37,0.7849
38,0.7847
39,0.7878
40,0.7859
41,0.779
42,0.7784
43,0.7801
44,0.7829
45,0.7838
46,0.7784
47,0.7839
48,0.7836
49,0.7826
50,0.7848
51,0.7805
52,0.7801
53,0.7824
54,0.784
55,0.7883
56,0.7861
57,0.7887
58,0.7922
59,0.7937
60,0.7916
61,0.7957
62,0.7948
63,0.7917
64,0.792
65,0.7955
66,0.7911
67,0.7945
68,0.791
69,0.7963
70,0.7937
71,0.7971
72,0.7942
73,0.7978
74,0.7922
75,0.7983
76,0.7964
77,0.8013
78,0.7982
79,0.7986
80,0.7933
81,0.7929
82,0.7991
83,0.7946
84,0.7958
85,0.7976
86,0.7939
87,0.798
88,0.7919
89,0.7979
90,0.7983
91,0.8019
92,0.7993
93,0.7955
94,0.8001
95,0.7959
96,0.7964
97,0.797
98,0.799
99,0.8023
100,0.8013
101,0.8002
102,0.7945
103,0.7943
104,0.8019
105,0.8012
106,0.7903
107,0.7966
108,0.796
109,0.7971
110,0.7972
111,0.7942
112,0.7984
113,0.7969
114,0.795
115,0.7925
116,0.7928
117,0.7983
118,0.7968
119,0.7976
120,0.8028
121,0.8022
122,0.7947
123,0.7984
124,0.8011
125,0.7985
126,0.8042
127,0.8005
128,0.7964
129,0.7974
130,0.7978
131,0.7967
132,0.7968
133,0.7997
134,0.8011
135,0.8021
136,0.7942
137,0.8001
138,0.7985
139,0.7988
140,0.8018
141,0.8048
142,0.795
143,0.7994
144,0.8014
145,0.7956
146,0.799
147,0.8001
148,0.7997
149,0.7977
150,0.7983
151,0.7978
152,0.797
153,0.8008
154,0.7982
155,0.7992
156,0.7979
157,0.8033
158,0.7988
159,0.7995
160,0.7983
161,0.8005
162,0.8007
163,0.8003
164,0.799
165,0.799
166,0.8001
167,0.8028
168,0.8041
169,0.8006
170,0.8037
171,0.7993
172,0.8053
173,0.8
174,0.8019
175,0.8019
176,0.8035
177,0.7998
178,0.7992
179,0.8032
180,0.7976
181,0.8039
182,0.8014
183,0.8004
184,0.8047
185,0.8037
186,0.8074
187,0.8033
188,0.805
189,0.8018
190,0.8045
191,0.8032
192,0.8026
193,0.8007
194,0.8047
195,0.8012
196,0.804
197,0.8036
198,0.8051
199,0.8028
200,0.8059
201,0.8039
202,0.8015
203,0.8033
204,0.8029
205,0.8061
206,0.8019
207,0.8059
208,0.8025
209,0.8038
210,0.805
211,0.8011
212,0.8053
213,0.8023
214,0.803
215,0.8044
216,0.804
217,0.803
218,0.8051
219,0.7995
220,0.8059
221,0.8038
222,0.8029
223,0.8005
224,0.8041
225,0.8056
226,0.8025
227,0.8036
228,0.8062
229,0.8071
230,0.8031
231,0.8054
232,0.8078
233,0.804
234,0.8054
235,0.8031
236,0.8003
237,0.8033
238,0.801
239,0.8041
240,0.8053
241,0.8059
242,0.801
243,0.8067
244,0.8072
245,0.8068
246,0.8015
247,0.8049
248,0.8039
249,0.8078
250,0.8029
251,0.8042
252,0.8009
253,0.8046
254,0.8059
255,0.8057
256,0.803
257,0.8054
258,0.801
259,0.8063
260,0.8069
261,0.8047
262,0.8018
263,0.8035
264,0.8025
265,0.8044
266,0.8056
267,0.8037
268,0.8047
269,0.8072
270,0.8056
271,0.8048
272,0.8034
273,0.8081
274,0.7998
275,0.8082
276,0.8034
277,0.8022
278,0.803
279,0.8019
280,0.8057
281,0.8041
282,0.8037
283,0.8047
284,0.806
285,0.8048
286,0.803
287,0.805
288,0.8006
289,0.8035
290,0.8049
291,0.8104
292,0.8079
293,0.7997
294,0.8037
295,0.805
296,0.8025
297,0.8066
298,0.807
299,0.8033
300,0.8033
301,0.8019
302,0.8018
303,0.805
304,0.8044
305,0.8077
306,0.8056
307,0.8054
308,0.8038
309,0.8049
310,0.8024
311,0.8071
312,0.807
313,0.8084
314,0.8051
315,0.7998
316,0.8056
317,0.8065
318,0.8087
319,0.8044
320,0.8031
321,0.8042
322,0.8066
323,0.8091
324,0.8071
325,0.809
326,0.8045
327,0.8063
328,0.8049
329,0.8063
330,0.8016
331,0.8059
332,0.8061
333,0.8051
334,0.8055
335,0.8022
336,0.803
337,0.8069
338,0.8041
339,0.8082
340,0.804
341,0.8048
342,0.8072
343,0.8046
344,0.8035
345,0.8072
346,0.805
347,0.8075
348,0.8053
349,0.8047
